p_id,word_index,word,baseline_lemma,baseline_method,expanded_lemma,expanded_method
1,11,väinöläh,väinä,fuzzy_lexicon_morphological,Väinä,fuzzy_lexicon_morphological
1,174,koksattaja,koksahtaa,fuzzy_lexicon_aggressive,kaakattaa,fuzzy_lexicon_morphological
1,353,hanhut,hanhi,fuzzy_lexicon_morphological,ånnu,fuzzy_lexicon_morphological
1,363,sia,sia,omorfi_contextual,sija,v17_lexicon_tier3_pos_x
1,397,hanhut,hanhi,fuzzy_lexicon_morphological,ånnu,fuzzy_lexicon_morphological
1,399,hanhut,hanhi,fuzzy_lexicon_morphological,ånnu,fuzzy_lexicon_morphological
1,418,ruskioita,ruis,fuzzy_lexicon_morphological,ruskia,fuzzy_lexicon_morphological
1,79,sortu,surra,voikko_omorfi,sortua,voikko_omorfi
2,100,itsellänegi,edellä,fuzzy_lexicon_aggressive,heitellä,fuzzy_lexicon_aggressive
2,110,käunnäldä,kunne,fuzzy_lexicon_aggressive,häntä,fuzzy_lexicon_aggressive
2,129,itsellänegi,edellä,fuzzy_lexicon_aggressive,heitellä,fuzzy_lexicon_aggressive
2,139,käunnäldä,kunne,fuzzy_lexicon_aggressive,häntä,fuzzy_lexicon_aggressive
2,158,itsellänegi,edellä,fuzzy_lexicon_aggressive,heitellä,fuzzy_lexicon_aggressive
2,173,jeäd,jättää,fuzzy_lexicon_morphological,häät,fuzzy_lexicon_morphological
2,205,pulom,pulma,fuzzy_lexicon_morphological,puomi,fuzzy_lexicon_morphological
2,239,iguini,kuu,fuzzy_lexicon_morphological,ikuinen,fuzzy_lexicon_morphological
2,248,sinnervöizen,siivin,fuzzy_lexicon_aggressive,sininen,fuzzy_lexicon_aggressive
2,285,roassallutti,oksa,fuzzy_lexicon_aggressive,olla,fuzzy_lexicon_aggressive
2,292,ulendänövi,lähteä,fuzzy_lexicon_aggressive,lentää,fuzzy_lexicon_aggressive
2,300,nuoli,nuolla,omorfi_contextual,nuoli,v17_lexicon_tier3_pos_x
2,335,selu,sellu,voikko_omorfi,sielu,voikko_omorfi
2,345,pölkum,pölkky,fuzzy_lexicon_morphological,kuin,fuzzy_lexicon_morphological
2,362,tavo,tavu,voikko_omorfi,tavi,voikko_omorfi
