poem_id,word,manual_lemma,predicted_lemma,method,exact_match,is_dialectal,is_identity_fallback,verse,place_name,year
skvr02105350,miero,miero,miero,omorfi_contextual,YES,NO,NO,"Miero vuotti uutta kuuta,",Repola,1909
skvr02105350,vuotti,vuottaa,vuottaa,omorfi_contextual,YES,NO,NO,"Miero vuotti uutta kuuta,",Repola,1909
skvr02105350,uutta,uusi,uusi,v16_lexicon_tier1,YES,NO,NO,"Miero vuotti uutta kuuta,",Repola,1909
skvr02105350,kuuta,kuu,kuu,omorfi_contextual,YES,NO,NO,"Miero vuotti uutta kuuta,",Repola,1909
skvr02105350,päiväistä,päivä,päivä,fuzzy_lexicon_morphological,YES,NO,NO,"Päiväistä yleniästä,",Repola,1909
skvr02105350,yleniästä,ylenijä,syli,voikko_omorfi,NO,NO,NO,"Päiväistä yleniästä,",Repola,1909
skvr02105350,miepä,minä,mie,omorfi_contextual,NO,NO,NO,"Miepä vuotin veioistani,",Repola,1909
skvr02105350,vuotin,vuottaa,vuottaa,omorfi_contextual,YES,NO,NO,"Miepä vuotin veioistani,",Repola,1909
skvr02105350,veioistani,veijo,vika,voikko_omorfi,NO,NO,NO,"Miepä vuotin veioistani,",Repola,1909
skvr02105350,veioistani,veijo,vika,voikko_omorfi,NO,NO,NO,"Veioistani, mińoistani.",Repola,1909
skvr02105350,minoistani,miniä,min,omorfi_contextual,NO,NO,NO,"Veioistani, mińoistani.",Repola,1909
skvr02105350,veion,veijo,viedä,voikko_omorfi,NO,NO,NO,"5 Veion tyhjin tulleheks,",Repola,1909
skvr02105350,tyhjin,tyhjä,tyhjä,omorfi_contextual,YES,NO,NO,"5 Veion tyhjin tulleheks,",Repola,1909
skvr02105350,tulleheks,tulla,tuli,fuzzy_lexicon_morphological,NO,NO,NO,"5 Veion tyhjin tulleheks,",Repola,1909
skvr02105350,rat'in,rati,ratti,voikko_omorfi,NO,NO,NO,Rat'in jousset juokseheks.[!],Repola,1909
skvr02105350,jousset,jouten?,jousi,voikko_omorfi,NO,NO,NO,Rat'in jousset juokseheks.[!],Repola,1909
skvr02105350,juokseheks,juosta,luokse,fuzzy_lexicon_morphological,NO,NO,NO,Rat'in jousset juokseheks.[!],Repola,1909
skvr02105350,täll,tällä,tämä,voikko_omorfi,NO,NO,NO,Täll' on tosi tuotavan.,Repola,1909
skvr02105350,on,olla,olla,omorfi_contextual,YES,NO,NO,Täll' on tosi tuotavan.,Repola,1909
skvr02105350,tosi,tosi,tosi,omorfi_contextual,YES,NO,NO,Täll' on tosi tuotavan.,Repola,1909
skvr02105350,tuotavan,tuoda,tuoda,omorfi_contextual,YES,NO,NO,Täll' on tosi tuotavan.,Repola,1909
skvr02105350,nuorilta,nuori,nuora,omorfi_contextual,NO,NO,NO,Nuorilta jalat väsy,Repola,1909
skvr02105350,jalat,jalka,jalka,v16_lexicon_tier1,YES,NO,NO,Nuorilta jalat väsy,Repola,1909
skvr02105350,väsy,väsyä,väsy,omorfi_contextual,NO,NO,NO,Nuorilta jalat väsy,Repola,1909
skvr02105350,rantateitä,rantatie,rantatie,omorfi_contextual,YES,NO,NO,"Rantateitä rapsuttais,",Repola,1909
skvr02105350,rapsuttais,rapsuttaa,rapsuttaa,omorfi_contextual,YES,NO,NO,"Rantateitä rapsuttais,",Repola,1909
skvr02105350,vanhoilda,vanha,vanha,voikko_omorfi,YES,NO,NO,10 Vanhoilda silmät valu,Repola,1909
skvr02105350,silmät,silmä,silmä,omorfi_contextual,YES,NO,NO,10 Vanhoilda silmät valu,Repola,1909
skvr02105350,valu,valu,valu,omorfi_contextual,YES,NO,NO,10 Vanhoilda silmät valu,Repola,1909
skvr02105350,sillanpäitä,sillanpää,sillanpää,omorfi_contextual,YES,NO,NO,Sillanpäitä istuossa.,Repola,1909
skvr02105350,istuossa,istua,tuo,fuzzy_lexicon_morphological,NO,NO,NO,Sillanpäitä istuossa.,Repola,1909
skvr02105350,nuorigo,nuori,nuori,omorfi_contextual,YES,NO,NO,"Nuorigo oli nostajas,",Repola,1909
skvr02105350,oli,olla,olla,omorfi_contextual,YES,NO,NO,"Nuorigo oli nostajas,",Repola,1909
skvr02105350,nostajas,nostaja,nostaja,voikko_omorfi,YES,NO,NO,"Nuorigo oli nostajas,",Repola,1909
skvr02105350,vihanta,vihanta,vihanta,omorfi_contextual,YES,NO,NO,Vihanta ylentäjäs?,Repola,1909
skvr02105350,ylentäjäs,ylentäjä,yllä,fuzzy_lexicon_aggressive,NO,NO,NO,Vihanta ylentäjäs?,Repola,1909
skvr02105350,morsien,morsian,morsian,dialectal_dictionary,YES,YES,NO,"Morsien, sisoriseni,",Repola,1909
skvr02105350,sisoriseni,sisar,sisar,fuzzy_lexicon_morphological,YES,NO,NO,"Morsien, sisoriseni,",Repola,1909
skvr02105350,kabulehti,kapolehti,kulkea,fuzzy_lexicon_morphological,NO,NO,NO,"15 Kabulehti, lagluoni,",Repola,1909
skvr02105350,lagluoni,lakla,lag,omorfi_contextual,NO,NO,NO,"15 Kabulehti, lagluoni,",Repola,1909
skvr02105350,toisin,toisin,toinen,omorfi_contextual,NO,NO,NO,"Toisin toisessa talossa,",Repola,1909
skvr02105350,toisessa,toinen,toinen,omorfi_contextual,YES,NO,NO,"Toisin toisessa talossa,",Repola,1909
skvr02105350,talossa,talo,talo,omorfi_contextual,YES,NO,NO,"Toisin toisessa talossa,",Repola,1909
skvr02105350,toisin,toisin,toinen,omorfi_contextual,NO,NO,NO,"Toisin moalla vierahalla,",Repola,1909
